sample_fp	plate	well	round	channel
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_8/round_1/20200210_222508_389/WellB1_ChannelDAPI_1x1-GFP_1x1_Seq0017.nd2	8	B1	1	DAPI_1x1-GFP_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_8/round_2/20200216_140242_361/WellB1_ChannelGFP_1x1_Seq0005.nd2	8	B1	2	GFP_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_8/round_1/20200210_222508_389/WellB2_ChannelA594_1x1_Seq0009.nd2	8	B2	1	A594_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_8/round_1/20200210_222508_389/WellB2_ChannelAF750_1x1_Seq0008.nd2	8	B2	1	AF750_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_8/round_1/20200210_222508_389/WellB2_ChannelDAPI_1x1-GFP_1x1_Seq0016.nd2	8	B2	1	DAPI_1x1-GFP_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_8/round_2/20200216_140242_361/WellB2_ChannelGFP_1x1_Seq0004.nd2	8	B2	2	GFP_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_8/round_1/20200210_222508_389/WellB3_ChannelA594_1x1_Seq0007.nd2	8	B3	1	A594_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_8/round_1/20200210_222508_389/WellB3_ChannelAF750_1x1_Seq0006.nd2	8	B3	1	AF750_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_8/round_1/20200210_222508_389/WellB3_ChannelDAPI_1x1-GFP_1x1_Seq0015.nd2	8	B3	1	DAPI_1x1-GFP_1x1
/archive/cheeseman/ops_data/aconcagua/input_ph/plate_8/round_2/20200216_140242_361/WellB3_ChannelGFP_1x1_Seq0003.nd2	8	B3	2	GFP_1x1
